1704805542,BYBIT:BTCUSDT.P, 5m,nan,{
  "Candle": {
    "asset": "BTCUSDT.P",
    "broker" : "BYBIT",
    "open": 95954.3,
    "high": 95981.2,
    "low": 95901.5,
    "close": 95908.7,
    "IsoTime": "2024-11-27T23:55:00Z",
    "timeFrame": 5
    }
},2024-11-28T00:00:00Z
1661734571,BYBIT:BTCUSDT.P, 1m,nan,{
  "Candle": {
    "asset": "BTCUSDT.P",
    "broker" : "BYBIT",
    "open": 95931.1,
    "high": 95936.3,
    "low": 95901.5,
    "close": 95908.7,
    "IsoTime": "2024-11-27T23:59:00Z",
    "timeFrame": 1
    }
},2024-11-28T00:00:00Z
1685601026,BYBIT:BTCUSDT.P, 15m,nan,{
  "Candle": {
    "asset": "BTCUSDT.P",
    "broker" : "BYBIT",
    "open": 96130.6,
    "high": 96146.4,
    "low": 95814.7,
    "close": 95908.7,
    "IsoTime": "2024-11-27T23:45:00Z",
    "timeFrame": 15
    }
},2024-11-28T00:00:00Z
1705251326,BYBIT:BTCUSDT.P, 1h,nan,{
  "Candle": {
    "asset": "BTCUSDT.P",
    "broker" : "BYBIT",
    "open": 96115.2,
    "high": 96246.1,
    "low": 95810.9,
    "close": 95908.7,
    "IsoTime": "2024-11-27T23:00:00Z",
    "timeFrame": 60
    }
},2024-11-28T00:00:00Z
1701788603,BYBIT:BTCUSDT.P, 4h,nan,{
  "Candle": {
    "asset": "BTCUSDT.P",
    "broker" : "BYBIT",
    "open": 96708.3,
    "high": 97276,
    "low": 95810.9,
    "close": 95908.7,
    "IsoTime": "2024-11-27T20:00:00Z",
    "timeFrame": 240
    }
},2024-11-28T00:00:00Z
1661734571,BYBIT:BTCUSDT.P, 1m,nan,{
  "Candle": {
    "asset": "BTCUSDT.P",
    "broker" : "BYBIT",
    "open": 95925.6,
    "high": 95939.9,
    "low": 95907.1,
    "close": 95931.1,
    "IsoTime": "2024-11-27T23:58:00Z",
    "timeFrame": 1
    }
},2024-11-27T23:59:03Z
1661734571,BYBIT:BTCUSDT.P, 1m,nan,{
  "Candle": {
    "asset": "BTCUSDT.P",
    "broker" : "BYBIT",
    "open": 95938.1,
    "high": 95940.7,
    "low": 95921.7,
    "close": 95925.6,
    "IsoTime": "2024-11-27T23:57:00Z",
    "timeFrame": 1
    }
},2024-11-27T23:58:01Z
